+------+--------+-------+-------+-------+-------+-------+
| Year | Storms | Cat.1 | Cat.2 | Cat.3 | Cat.4 | Cat.5 |
+------+--------+-------+-------+-------+-------+-------+
| 1851 |   6    |   3   |   1   |   1   |   0   |   0   |
| 1852 |   5    |   5   |   2   |   1   |   0   |   0   |
| 1853 |   8    |   4   |   3   |   2   |   1   |   0   |
| 1854 |   5    |   3   |   2   |   1   |   0   |   0   |
| 1855 |   5    |   4   |   3   |   1   |   0   |   0   |
| 1856 |   6    |   4   |   2   |   2   |   1   |   0   |
| 1857 |   4    |   3   |   2   |   0   |   0   |   0   |
| 1858 |   6    |   6   |   2   |   0   |   0   |   0   |
| 1859 |   8    |   7   |   4   |   1   |   0   |   0   |
| 1860 |   7    |   6   |   5   |   1   |   0   |   0   |
| 1861 |   8    |   6   |   2   |   0   |   0   |   0   |
| 1862 |   6    |   3   |   2   |   0   |   0   |   0   |
| 1863 |   9    |   5   |   4   |   0   |   0   |   0   |
| 1864 |   5    |   3   |   0   |   0   |   0   |   0   |
| 1865 |   7    |   3   |   2   |   0   |   0   |   0   |
| 1866 |   7    |   6   |   4   |   1   |   1   |   0   |
| 1867 |   9    |   7   |   5   |   1   |   0   |   0   |
| 1868 |   4    |   4   |   3   |   0   |   0   |   0   |
| 1869 |   10   |   7   |   5   |   1   |   0   |   0   |
| 1870 |   11   |   10  |   5   |   2   |   0   |   0   |
| 1871 |   8    |   6   |   3   |   2   |   0   |   0   |
| 1872 |   5    |   4   |   1   |   0   |   0   |   0   |
| 1873 |   5    |   3   |   2   |   2   |   0   |   0   |
| 1874 |   7    |   4   |   1   |   0   |   0   |   0   |
| 1875 |   6    |   5   |   2   |   1   |   0   |   0   |
| 1876 |   5    |   4   |   3   |   2   |   0   |   0   |
| 1877 |   8    |   3   |   1   |   1   |   0   |   0   |
| 1878 |   12   |   10  |   6   |   2   |   1   |   0   |
| 1879 |   8    |   6   |   4   |   2   |   0   |   0   |
| 1880 |   11   |   9   |   3   |   2   |   2   |   0   |
| 1881 |   7    |   4   |   2   |   0   |   0   |   0   |
| 1882 |   6    |   4   |   2   |   2   |   1   |   0   |
| 1883 |   4    |   4   |   2   |   2   |   0   |   0   |
| 1884 |   4    |   4   |   2   |   1   |   0   |   0   |
| 1885 |   8    |   6   |   1   |   0   |   0   |   0   |
| 1886 |   12   |   10  |   9   |   4   |   1   |   0   |
| 1887 |   19   |   12  |   6   |   2   |   0   |   0   |
| 1888 |   9    |   6   |   4   |   2   |   0   |   0   |
| 1889 |   9    |   6   |   2   |   0   |   0   |   0   |
| 1890 |   4    |   2   |   1   |   1   |   0   |   0   |
| 1891 |   10   |   7   |   4   |   1   |   0   |   0   |
| 1892 |   9    |   5   |   3   |   0   |   0   |   0   |
| 1893 |   12   |   10  |   9   |   5   |   1   |   0   |
| 1894 |   7    |   5   |   5   |   4   |   1   |   0   |
| 1895 |   6    |   2   |   2   |   0   |   0   |   0   |
| 1896 |   7    |   6   |   6   |   2   |   0   |   0   |
| 1897 |   6    |   3   |   1   |   0   |   0   |   0   |
| 1898 |   11   |   5   |   2   |   1   |   1   |   0   |
| 1899 |   10   |   5   |   5   |   2   |   1   |   0   |
